Question	Answer	Source	Metadata	SuggestedQuestions	IsContextOnly	Prompts	QnaId
Why is this project being built?	The Laredo area is expected to add between 100,000 and 200,000 residents over the next 25 years\n–\nmost of these people are expected to locate to the north and east sides of the community. This facility is envisioned to serve the whole community by meeting needs without overburdening existing, already limited facilities. The new facility will provide a safer environment, reducing crashes and injuries.	FAQ_LaredoOuterLoop_FinalDraft_Spanish.pdf		[]	false	[{"displayOrder":0,"qnaId":118,"displayText":"Tell me more ..."}]	1
Why this project?	The Laredo area is expected to add between 100,000 and 200,000 residents over the next 25 years\n–\nmost of these people are expected to locate to the north and east sides of the community. This facility is envisioned to serve the whole community by meeting needs without overburdening existing, already limited facilities. The new facility will provide a safer environment, reducing crashes and injuries.	FAQ_LaredoOuterLoop_FinalDraft_Spanish.pdf		[]	false	[{"displayOrder":0,"qnaId":118,"displayText":"Tell me more ..."}]	1
Why not another project?	The Laredo area is expected to add between 100,000 and 200,000 residents over the next 25 years\n–\nmost of these people are expected to locate to the north and east sides of the community. This facility is envisioned to serve the whole community by meeting needs without overburdening existing, already limited facilities. The new facility will provide a safer environment, reducing crashes and injuries.	FAQ_LaredoOuterLoop_FinalDraft_Spanish.pdf		[]	false	[{"displayOrder":0,"qnaId":118,"displayText":"Tell me more ..."}]	1
Why the Laredo Outer Loop?	The Laredo area is expected to add between 100,000 and 200,000 residents over the next 25 years\n–\nmost of these people are expected to locate to the north and east sides of the community. This facility is envisioned to serve the whole community by meeting needs without overburdening existing, already limited facilities. The new facility will provide a safer environment, reducing crashes and injuries.	FAQ_LaredoOuterLoop_FinalDraft_Spanish.pdf		[]	false	[{"displayOrder":0,"qnaId":118,"displayText":"Tell me more ..."}]	1
Why the Outer Loop?	The Laredo area is expected to add between 100,000 and 200,000 residents over the next 25 years\n–\nmost of these people are expected to locate to the north and east sides of the community. This facility is envisioned to serve the whole community by meeting needs without overburdening existing, already limited facilities. The new facility will provide a safer environment, reducing crashes and injuries.	FAQ_LaredoOuterLoop_FinalDraft_Spanish.pdf		[]	false	[{"displayOrder":0,"qnaId":118,"displayText":"Tell me more ..."}]	1
Why are you building the Laredo Outer Loop?	The Laredo area is expected to add between 100,000 and 200,000 residents over the next 25 years\n–\nmost of these people are expected to locate to the north and east sides of the community. This facility is envisioned to serve the whole community by meeting needs without overburdening existing, already limited facilities. The new facility will provide a safer environment, reducing crashes and injuries.	FAQ_LaredoOuterLoop_FinalDraft_Spanish.pdf		[]	false	[{"displayOrder":0,"qnaId":118,"displayText":"Tell me more ..."}]	1
Which aspects were taken into consideration when defining the alignments?	The alignments were defined based on several environmental and human constraints in the study area. Factors considered include: existing houses, colonias, prime farmland soils, floodplains, wetlands, rivers, streams, lakes, oil/gas wells, pipelines, hazardous waste sites, endangered species, archeological locations, parcel boundaries, among others. The proposed alignments are not final and are subject to change.	FAQ_LaredoOuterLoop_FinalDraft_Spanish.pdf		[]	false	[{"displayOrder":0,"qnaId":118,"displayText":"Tell me more ..."}]	2
How were the alignments defined?	The alignments were defined based on several environmental and human constraints in the study area. Factors considered include: existing houses, colonias, prime farmland soils, floodplains, wetlands, rivers, streams, lakes, oil/gas wells, pipelines, hazardous waste sites, endangered species, archeological locations, parcel boundaries, among others. The proposed alignments are not final and are subject to change.	FAQ_LaredoOuterLoop_FinalDraft_Spanish.pdf		[]	false	[{"displayOrder":0,"qnaId":118,"displayText":"Tell me more ..."}]	2
How did you defined the alignments?	The alignments were defined based on several environmental and human constraints in the study area. Factors considered include: existing houses, colonias, prime farmland soils, floodplains, wetlands, rivers, streams, lakes, oil/gas wells, pipelines, hazardous waste sites, endangered species, archeological locations, parcel boundaries, among others. The proposed alignments are not final and are subject to change.	FAQ_LaredoOuterLoop_FinalDraft_Spanish.pdf		[]	false	[{"displayOrder":0,"qnaId":118,"displayText":"Tell me more ..."}]	2
Why do the alignments look like that?	The alignments were defined based on several environmental and human constraints in the study area. Factors considered include: existing houses, colonias, prime farmland soils, floodplains, wetlands, rivers, streams, lakes, oil/gas wells, pipelines, hazardous waste sites, endangered species, archeological locations, parcel boundaries, among others. The proposed alignments are not final and are subject to change.	FAQ_LaredoOuterLoop_FinalDraft_Spanish.pdf		[]	false	[{"displayOrder":0,"qnaId":118,"displayText":"Tell me more ..."}]	2
